wb,ov_typ,distr_id,na_kun_stm,length,Basis
422,RW1,DK1,Naturlig,2.337990320494783,3.0
426,RW1,DK1,Naturlig,0.6908451312355061,3.0
428,RW2,DK1,Naturlig,28.34976694102138,4.0
429,RW2,DK1,Naturlig,22.841888138901293,2.0
430,RW1,DK1,Naturlig,3.072868222743336,2.0
431,RW2,DK1,Naturlig,14.873084243567918,3.0
432,RW1,DK1,Naturlig,0.8887594536978065,3.0
433,RW2,DK1,Naturlig,29.889472172830075,4.0
434,RW1,DK1,Naturlig,1.1376411183504054,
435,RW1,DK1,Naturlig,0.08479305110147546,3.0
437,RW1,DK2,Stærkt modificeret,2.7787721055751295,
439,RW1,DK1,Naturlig,0.8256651888735238,3.0
443,RW1,DK1,Naturlig,12.16922679369343,3.0
444,RW2,DK1,Naturlig,11.644114308950815,3.0
447,RW1,DK1,Naturlig,8.685579643922388,4.0
449,RW2,DK3,Stærkt modificeret,2.2561167089853735,
450,RW1,DK1,Naturlig,0.9535206878120178,3.0
454,RW2,DK1,Naturlig,14.084951574251017,3.0
456,RW3,DK2,Naturlig,22.671121641634265,2.0
457,RW2,DK1,Naturlig,12.39134995311509,3.0
458,RW2,DK1,Naturlig,12.598040074103542,4.0
462,RW1,DK1,Naturlig,18.81320294395454,2.0
467,RW1,DK1,Naturlig,1.0918957627745955,4.0
469,RW1,DK1,Stærkt modificeret,0.3282526550213843,
470,RW1,DK1,Naturlig,3.3931109265752295,3.0
472,RW2,DK2,Naturlig,1.1086541182672518,
473,RW1,DK1,Naturlig,1.7595257003004159,2.0
475,RW1,DK1,Naturlig,1.2185081645522389,4.0
476,RW1,DK1,Naturlig,1.804888552126008,3.0
478,RW1,DK1,Naturlig,1.1904104760076952,
479,RW1,DK1,Naturlig,1.3186525724967426,
481,RW1,DK1,Kunstig,3.389945621595467,2.0
482,RW1,DK1,Naturlig,2.106332950306185,2.0
484,RW1,DK1,Naturlig,1.7148732067750785,
487,RW1,DK1,Naturlig,19.28602311767759,3.0
489,RW1,DK1,Stærkt modificeret,1.1958352636278466,
491,RW2,DK1,Naturlig,29.509427356575223,4.0
493,RW1,DK2,Stærkt modificeret,2.193567761660531,
494,RW1,DK1,Naturlig,0.03806060807636673,3.0
495,RW1,DK3,Naturlig,1.2102332973179069,
497,RW1,DK1,Naturlig,37.62263390137442,4.0
499,RW1,DK1,Naturlig,0.23664398105874107,3.0
501,RW1,DK1,Naturlig,1.4295286116785781,3.0
502,RW1,DK1,Naturlig,1.2235109844142673,3.0
503,RW1,DK1,Kunstig,1.9373995177421468,3.0
505,RW1,DK1,Naturlig,0.19434580883502406,3.0
508,RW2,DK1,Stærkt modificeret,1.5900635039667548,
509,RW1,DK1,Naturlig,0.1306530732931776,3.0
510,RW1,DK1,Naturlig,0.464550451563306,3.0
511,RW2,DK1,Naturlig,26.870495522815066,3.0
513,RW1,DK3,Naturlig,1.0663087047102426,3.0
515,RW1,DK1,Naturlig,22.090149521052357,2.0
516,RW2,DK1,Naturlig,14.005853724198786,3.0
517,RW1,DK1,Naturlig,1.363967673866472,3.0
518,RW1,DK1,Naturlig,2.183574214105651,3.0
519,RW1,DK1,Naturlig,1.683354885357841,3.0
520,RW2,DK4,Naturlig,14.44710667463644,4.0
523,RW2,DK4,Naturlig,14.646898305449248,3.0
527,RW1,DK1,Naturlig,1.003248105590346,1.0
530,RW1,DK1,Naturlig,1.4993313898123175,1.0
536,RW1,DK2,Naturlig,0.4728392392491495,2.0
537,RW1,DK1,Naturlig,0.2614613358429759,
538,RW1,DK1,Naturlig,1.9625524490059125,2.0
545,RW1,DK1,Naturlig,1.1010536627063783,3.0
546,RW1,DK1,Naturlig,13.028145149499428,4.0
547,RW1,DK2,Naturlig,0.48659116235753586,2.0
548,RW1,DK1,Naturlig,1.2008736189619904,3.0
549,RW1,DK1,Naturlig,29.944099365288086,3.0
550,RW1,DK1,Naturlig,1.258301544740191,3.0
551,RW1,DK1,Naturlig,1.8749724507353667,4.0
554,RW1,DK1,Naturlig,2.1183277064791777,4.0
555,RW1,DK1,Naturlig,1.5078320234450222,2.0
557,RW1,DK1,Naturlig,1.3170812530240943,
559,RW1,DK1,Naturlig,1.5167443362916058,3.0
560,RW1,DK1,Naturlig,1.8746404150392555,
561,RW1,DK2,Naturlig,1.8505107658474667,2.0
562,RW1,DK1,Naturlig,3.4786110811286752,3.0
563,RW1,DK2,Naturlig,0.39209535193803297,2.0
566,RW1,DK1,Naturlig,3.3083915456010855,4.0
569,RW5,DK2,Stærkt modificeret,2.229039331808441,
572,RW2,DK1,Naturlig,15.78156739030601,3.0
574,RW1,DK1,Naturlig,1.007688022792712,3.0
575,RW5,DK2,Naturlig,1.7536628273131418,
583,RW1,DK1,Naturlig,1.855738256548962,3.0
584,RW1,DK1,Naturlig,2.297610255762295,2.0
586,RW2,DK1,Naturlig,17.217248132679035,4.0
587,RW1,DK1,Naturlig,1.3746387302610048,4.0
588,RW1,DK1,Naturlig,2.244340259706411,2.0
590,RW1,DK1,Naturlig,0.7865686563633133,3.0
591,RW1,DK1,Naturlig,2.946111265791141,4.0
592,RW1,DK1,Naturlig,0.19731767980587403,
594,RW1,DK1,Naturlig,19.976550028325438,2.0
595,RW1,DK1,Naturlig,16.83618516870938,2.0
597,RW2,DK1,Stærkt modificeret,41.030191517039725,2.0
599,RW1,DK1,Naturlig,0.5673971479543357,3.0
600,RW2,DK1,Stærkt modificeret,0.9064505424380297,
601,RW1,DK1,Naturlig,20.31185842904958,3.0
602,RW1,DK1,Naturlig,0.5341942665777625,3.0
603,RW1,DK3,Naturlig,1.254245495846552,4.0
605,RW1,DK1,Naturlig,1.907545790269594,2.0
606,RW1,DK1,Naturlig,0.5606755040044634,1.0
610,RW2,DK1,Naturlig,31.23272942889278,4.0
612,RW1,DK1,Stærkt modificeret,1.0674053283602312,
613,RW1,DK1,Naturlig,1.2749366251719754,3.0
615,RW3,DK1,Stærkt modificeret,1.7721015532257705,
616,RW1,DK1,Naturlig,0.9929495224080034,3.0
617,RW2,DK1,Naturlig,13.720338999510732,4.0
618,RW2,DK1,Naturlig,23.080707373021877,3.0
619,RW1,DK1,Naturlig,0.38590698978175914,4.0
620,RW1,DK1,Naturlig,1.4925942596399122,2.0
621,RW1,DK1,Naturlig,1.4030151859732238,3.0
623,RW1,DK1,Naturlig,1.5259166890340616,1.0
624,RW1,DK1,Naturlig,1.0961065673591324,3.0
625,RW5,DK2,Naturlig,1.9150847017035044,
626,RW1,DK1,Naturlig,0.07046148519575088,2.0
627,RW1,DK1,Naturlig,3.126934676930289,
628,RW1,DK3,Naturlig,2.824522440646649,2.0
629,RW1,DK1,Naturlig,0.20501258950667872,
632,RW1,DK1,Naturlig,7.660666334692606,2.0
637,RW1,DK1,Naturlig,0.49149338849295515,
639,RW1,DK1,Naturlig,1.3153939442484466,3.0
640,RW1,DK1,Naturlig,0.09740351874317296,
641,RW1,DK1,Naturlig,1.1565310375633804,2.0
642,RW2,DK1,Naturlig,14.36216600642665,2.0
644,RW1,DK1,Naturlig,0.5738110356906051,
645,RW2,DK1,Stærkt modificeret,2.2921035975007253,3.0
646,RW2,DK1,Naturlig,11.682768220379995,3.0
647,RW2,DK1,Naturlig,28.459410890672,3.0
649,RW1,DK1,Naturlig,1.1956510137546474,3.0
651,RW1,DK1,Naturlig,1.4286922586432869,3.0
652,RW1,DK2,Naturlig,0.8793602370940234,3.0
653,RW1,DK2,Stærkt modificeret,2.8772630669496335,
654,RW2,DK2,Naturlig,1.0003628840167746,2.0
655,RW1,DK1,Naturlig,2.863285438701126,4.0
657,RW1,DK1,Naturlig,2.1506712738486145,1.0
658,RW2,DK1,Naturlig,15.456912036493183,3.0
659,RW1,DK1,Naturlig,23.463277735961842,3.0
660,RW1,DK1,Stærkt modificeret,1.1808345296860734,
662,RW5,DK2,Naturlig,2.308994974024276,
663,RW2,DK1,Naturlig,1.6884426022659849,
664,RW1,DK2,Stærkt modificeret,0.5389128722803024,
668,RW1,DK1,Naturlig,23.24732083896903,3.0
673,RW1,DK1,Naturlig,2.352330541194797,4.0
674,RW1,DK1,Naturlig,1.2120490750293686,
675,RW1,DK1,Naturlig,3.0536725567272325,2.0
676,RW1,DK1,Naturlig,1.1126559922671528,3.0
678,RW1,DK1,Naturlig,1.152703573018277,3.0
679,RW5,DK1,Naturlig,34.656689120258235,
680,RW1,DK2,Naturlig,2.047131019065864,3.0
681,RW1,DK2,Naturlig,1.8741944686998002,3.0
682,RW1,DK1,Naturlig,4.596384753602754,3.0
683,RW1,DK1,Naturlig,1.3133009598695489,
684,RW1,DK1,Naturlig,1.3764734607914835,
686,RW1,DK1,Naturlig,2.261908551219049,3.0
687,RW1,DK1,Naturlig,1.16538625808665,3.0
688,RW1,DK1,Stærkt modificeret,2.074181800323208,1.0
689,RW1,DK3,Naturlig,2.6500014648074033,2.0
691,RW3,DK1,Naturlig,23.557993476460155,2.0
692,RW1,DK1,Naturlig,1.1538160784900875,3.0
694,RW1,DK1,Naturlig,1.775741914624239,2.0
695,RW1,DK1,Naturlig,2.2504618419911804,
698,RW1,DK1,Naturlig,1.6373166061411133,3.0
699,RW1,DK1,Naturlig,2.6069745336269974,2.0
703,RW1,DK2,Naturlig,2.7374094282488923,3.0
704,RW1,DK1,Naturlig,0.30360615540282604,3.0
705,RW1,DK3,Naturlig,1.7014980358356697,2.0
707,RW1,DK1,Naturlig,1.2202629024182075,
710,RW1,DK1,Naturlig,1.623608076841493,
713,RW1,DK1,Naturlig,2.0238818446281432,3.0
714,RW1,DK1,Naturlig,1.0634990891686054,2.0
715,RW2,DK1,Naturlig,2.1859583855433296,3.0
716,RW2,DK1,Kunstig,2.546649789773119,1.0
718,RW1,DK1,Kunstig,2.0929574482178066,4.0
723,RW2,DK1,Naturlig,13.642700099479159,2.0
725,RW2,DK1,Naturlig,17.747518924232722,3.0
727,RW1,DK1,Naturlig,2.130695261164454,3.0
728,RW2,DK1,Naturlig,21.690598793085556,2.0
729,RW2,DK1,Naturlig,9.909942699891252,3.0
730,RW2,DK1,Naturlig,31.16217454109742,4.0
731,RW1,DK1,Naturlig,0.8912034628382168,3.0
734,RW1,DK1,Naturlig,1.4089128007431193,2.0
735,RW1,DK2,Naturlig,1.0997506337661023,2.0
736,RW2,DK1,Naturlig,38.617027408566585,3.0
738,RW1,DK1,Naturlig,0.9205665053570807,
742,RW1,DK4,Naturlig,4.068023215681832,3.0
744,RW1,DK1,Kunstig,2.5331326185548306,3.0
746,RW1,DK2,Naturlig,1.5458536329078187,2.0
747,RW1,DK4,Naturlig,1.4060523604834594,
750,RW1,DK1,Naturlig,1.2928856188995044,3.0
751,RW1,DK1,Naturlig,1.4287859720152998,3.0
753,RW1,DK1,Naturlig,1.31851936247096,3.0
755,RW1,DK1,Naturlig,0.061626059768788724,3.0
756,RW1,DK1,Naturlig,0.4448056563553528,3.0
759,RW1,DK1,Naturlig,1.2613120664889097,
760,RW1,DK1,Naturlig,0.8179874853928472,3.0
761,RW5,DK2,Naturlig,1.2913303887938996,
763,RW1,DK1,Naturlig,2.3963963879206567,3.0
764,RW1,DK2,Naturlig,1.5439662495898556,3.0
766,RW1,DK1,Naturlig,2.061884170640073,3.0
768,RW1,DK1,Naturlig,1.9823826549706907,3.0
769,RW2,DK1,Naturlig,24.856479810085066,2.0
777,RW1,DK1,Naturlig,1.2104718732658684,4.0
778,RW2,DK2,Stærkt modificeret,1.1616799071079813,
779,RW2,DK1,Naturlig,2.0531456984607916,2.0
780,RW1,DK3,Naturlig,1.4628309354505042,
783,RW1,DK1,Naturlig,1.1129603634891825,3.0
787,RW2,DK1,Naturlig,18.866354890386216,2.0
788,RW1,DK1,Naturlig,30.059843665966795,2.0
789,RW1,DK1,Naturlig,0.6973474639589113,
790,RW5,DK2,Naturlig,2.3437109809160606,
792,RW1,DK1,Naturlig,1.2114376725651683,2.0
793,RW1,DK2,Naturlig,1.358847076554886,
797,RW1,DK1,Naturlig,9.612990738794563,3.0
798,RW2,DK1,Naturlig,25.679657855621812,2.0
799,RW1,DK1,Stærkt modificeret,3.158356541789446,
800,RW2,DK1,Naturlig,19.271181380766944,2.0
803,RW1,DK1,Naturlig,0.9859368405764126,3.0
805,RW1,DK1,Naturlig,0.8346525373497383,3.0
806,RW1,DK1,Naturlig,3.0799986457495665,2.0
807,RW1,DK1,Naturlig,0.19251735717072113,
808,RW1,DK2,Naturlig,1.287572076942965,2.0
809,RW1,DK1,Naturlig,0.20927889231560648,
811,RW1,DK1,Naturlig,17.83184339741929,3.0
816,RW1,DK1,Stærkt modificeret,1.22761204522983,
817,RW1,DK1,Naturlig,0.5887084348038258,2.0
818,RW1,DK1,Naturlig,1.710911964016244,1.0
819,RW1,DK1,Kunstig,2.125778771039986,3.0
820,RW1,DK3,Naturlig,1.461346136958562,2.0
822,RW1,DK1,Naturlig,2.86026459150698,2.0
827,RW1,DK1,Naturlig,0.1264584302805829,
833,RW1,DK1,Kunstig,1.174861175590922,2.0
835,RW1,DK1,Naturlig,1.8517146660489558,3.0
837,RW1,DK1,Naturlig,0.9190752320732878,4.0
838,RW1,DK2,Naturlig,0.7596330807299749,
