wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
204,,,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,2.0,0.0,1.0,1.0,1.0,2.0,1.0,,1.0,,1.0,,1.0
206,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
207,,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,1.0,2.0,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,10.0,,,,,,,,,,,,,2.0,,,,2.0,3.0,5.0,1.0,1.0,4.0,,11.0,1.0,2.0,2.0,1.0,
212,,,,,,5.0,,,,,,,,,,3.0,,,,,,,,,3.0,2.0,2.0,3.0,2.0,2.0,,,3.0,3.0,2.0,2.0,
214,3.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0
216,5.0,4.0,3.0,3.0,3.0,6.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
217,5.0,4.0,3.0,3.0,3.0,6.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,,3.0,3.0,2.0,2.0,3.0,2.0,2.0,,,2.0,2.0,3.0,,
219,18.0,18.0,5.0,46.0,2.0,3.0,5.0,8.0,7.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
221,,,,,,,,,,,,,,,,2.0,5.0,2.0,1.0,2.0,2.0,,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0
222,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,0.0,0.0,1.0,1.0,2.0,,,1.0,2.0,1.0,,
224,4.0,3.0,5.0,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,5.0,3.0,4.0,3.0,4.0,4.0,4.0,6.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,,,,,,,,,,,,,,,3.0,2.0
232,8.0,18.0,4.0,5.0,4.0,5.0,4.0,8.0,3.0,3.0,5.0,4.0,5.0,4.0,7.0,4.0,4.0,3.0,3.0,3.0,4.0,,2.0,3.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0
233,8.0,12.0,4.0,4.0,4.0,4.0,4.0,7.0,5.0,4.0,4.0,4.0,7.0,5.0,7.0,5.0,5.0,,,,7.0,4.0,,,,,,,,,,,,,,5.0,5.0
234,6.0,11.0,5.0,3.0,5.0,6.0,5.0,11.0,8.0,3.0,10.0,3.0,6.0,3.0,10.0,5.0,7.0,3.0,5.0,9.0,6.0,5.0,3.0,3.0,5.0,2.0,5.0,7.0,3.0,7.0,7.0,11.0,6.0,6.0,5.0,6.0,10.0
235,7.0,6.0,4.0,4.0,5.0,5.0,4.0,10.0,7.0,6.0,8.0,4.0,10.0,6.0,8.0,5.0,6.0,4.0,5.0,8.0,5.0,5.0,3.0,5.0,3.0,2.0,3.0,4.0,3.0,7.0,,5.0,7.0,12.0,,6.0,8.0
236,5.0,9.0,7.0,3.0,7.0,4.0,4.0,20.0,13.0,5.0,10.0,4.0,12.0,4.0,8.0,7.0,10.0,,,,,,,,,,,,,,9.0,7.0,8.0,15.0,8.0,12.0,12.0
238,,,,,,,,,,,,,,,,,,,,,51.0,,,,16.0,13.0,95.0,55.0,29.0,29.0,,55.0,43.0,24.0,,,143.0
