wb,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
210,1,1,1,2,3,3,3,2,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3
213,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,3,3,2,2,3,2,2,3,3
216,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
219,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
220,2,2,2,1,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,4,3,3,4,4,3,4,3,3,3,4,3
223,2,2,2,3,3,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
224,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,3,3,2,3
228,2,2,2,1,2,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2
232,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,3,2,3,3,3,3,3
233,1,2,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1
235,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2
236,2,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
238,2,2,2,2,3,3,3,3,3,2,2,2,3,2,3,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3
242,2,3,3,4,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3
243,2,3,3,3,1,3,3,2,3,2,3,3,3,4,4,3,3,3,4,4,4,4,3,4,3,3,4,4,3,4,4,3
245,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,4,3,3,3,3,4,3,3
246,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3
249,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,2,3,3,2,2,3,3,2,3
250,2,2,2,2,2,3,2,4,3,2,3,2,3,4,3,3,3,3,3,3,3,2,3,2,2,3,2,3,3,3,3,3
251,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
257,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2
261,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
264,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2
267,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
273,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3
274,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2
275,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
276,3,2,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3
282,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
283,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
286,2,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
290,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
291,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2
292,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
294,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3
298,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
299,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,2,1,1,2,1,1
