wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
155,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,65.0,,,,52.0
156,,,36.0,,,,40.0,,,,,,,16.0,,,,,,28.0,,,15.0,,,28.0,,,40.0,,,76.0,,,,,
157,,64.0,,100.0,,,,,73.0,,,33.0,,,,,30.0,,,,65.0,,,,,50.0,,,,,85.0,,,,,,293.0
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,73.0,,,,,,21.0
161,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,,,,,,99.0,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,17.0,,,,,,,,,,,,,,,,,103.0,,,,,,109.0,,,,59.0,,181.0,,,,
166,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,10.0
167,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,79.0,,,,,,,43.0,
169,,76.0,,,50.0,,,62.0,,,47.0,,,74.0,,56.0,57.0,,,27.0,,,,,,17.0,,,22.0,,,,17.0,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,6.0
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,37.0
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,9.0
179,,24.0,29.0,31.0,19.0,25.0,36.0,16.0,12.0,17.0,14.0,24.0,27.0,28.0,30.0,17.0,20.0,22.0,32.0,23.0,59.0,31.0,27.0,20.0,31.0,27.0,17.0,18.0,,23.0,,17.0,,23.0,,16.0,
180,,188.0,125.0,97.0,114.0,,,133.0,,,140.0,,,51.0,98.0,34.0,45.0,55.0,47.0,90.0,58.0,,,,,87.0,,93.0,,,,,,38.0,,,
181,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,11.0,,,,,,5.0,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,35.0
183,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,77.0,,,,,,8.0,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,,,,,,154.0,,
185,,,,,,,,,,,,,,,,,,,,,,,,,107.0,,,489.0,,,48.0,,,,,,73.0
187,,,128.0,147.0,154.0,73.0,51.0,22.0,70.0,14.0,11.0,27.0,85.0,147.0,91.0,100.0,173.0,141.0,72.0,56.0,54.0,88.0,64.0,64.0,43.0,66.0,35.0,118.0,,74.0,,55.0,,13.0,,47.0,
189,,,,14.0,,129.0,,41.0,,15.0,,45.0,,,45.0,,174.0,,,41.0,,,,,,13.0,,,,,,215.0,,,,,
190,,106.0,73.0,,42.0,55.0,,90.0,,40.0,68.0,34.0,71.0,34.0,,,67.0,102.0,,,61.0,,,8.0,,,5.0,,,9.0,,,,34.0,,39.0,
191,,122.0,,71.0,112.0,213.0,169.0,218.0,,93.0,,,141.0,165.0,109.0,,,,87.0,,,161.0,,,135.0,,,220.0,,,,,,,226.0,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,5.0
193,,,,,,,,,,,,,,,,,,,11.0,,,15.0,,,,,,7.0,,,,,,4.0,,,
194,,,,,,,,,,,,,,,,,,,,,,,192.0,,,,,,41.0,,,,,,144.0,,
195,,,129.0,135.0,49.0,107.0,71.0,124.0,70.0,77.0,70.0,71.0,,62.0,,118.0,266.0,133.0,,,97.0,,,97.0,,,112.0,,,65.0,,,39.0,,,14.0,
196,274.0,,,,,,,,234.0,,,,,253.0,237.0,,282.0,,,423.0,,,,,,244.0,,,,,,276.0,,,,,
197,,40.0,48.0,51.0,65.0,64.0,68.0,59.0,37.0,60.0,56.0,62.0,33.0,71.0,62.0,59.0,55.0,,,67.0,,,91.0,,,22.0,,,14.0,,,70.0,,,114.0,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,100.0,,,,,
199,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,11.0,,,4.0,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,27.0,,,,,,7.0,,,,7.0,,,,11.0,,,5.0,,,2.0,,,,,,4.0,,,28.0,,,4.0,,
202,,49.0,50.0,53.0,38.0,59.0,29.0,35.0,36.0,44.0,20.0,29.0,46.0,57.0,,,83.0,,,71.0,,,34.0,,69.0,,,67.0,,,50.0,,,90.0,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,196.0,,,,
206,,,,63.0,101.0,,,146.0,,,87.0,,80.0,,,65.0,,,,,,14.0,,,11.0,,,27.0,,,18.0,,,68.0,,,36.0
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,3.0
208,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,3.0,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,5.0,,,,
213,212.0,155.0,165.0,,181.0,172.0,,154.0,,138.0,,,108.0,,,96.0,,,89.0,,,38.0,,,125.0,,,84.0,,,96.0,,,,,,68.0
214,,,,,91.0,,,94.0,,,,,,,,,192.0,400.0,,279.0,,,,154.0,200.0,194.0,350.0,176.0,179.0,,202.0,,542.0,,256.0,,290.0
215,,,,101.0,136.0,,,165.0,,,207.0,,58.0,,,159.0,,,,,,69.0,,,63.0,,,34.0,,,4.0,,,13.0,,,50.0
220,,,102.0,,,70.0,,,49.0,,43.0,65.0,53.0,,,80.0,,,70.0,,,76.0,,,128.0,,,,,,109.0,,,,,,106.0
221,,,,,,,,,,,,,,,,,,,,,261.0,,,,,,214.0,,,,,654.0,,,,,
222,188.0,,71.0,,12.0,,6.0,,50.0,,10.0,23.0,,37.0,7.0,10.0,,,75.0,,,,,,216.0,,,,,,42.0,,,,,,323.0
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,8.0,,,,,,12.0,,,,
226,47.0,55.0,122.0,94.0,121.0,114.0,103.0,,128.0,60.0,82.0,22.0,13.0,52.0,21.0,77.0,78.0,33.0,,,31.0,,,,18.0,,137.0,,,121.0,,,80.0,,,82.0,
227,,,,105.0,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,33.0,,,,,
229,,,,,,,,,,,,,,,,,,4.0,65.0,,,,,,,104.0,,,36.0,,,,57.0,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,104.0,,,127.0,,,,,,47.0
232,175.0,188.0,248.0,,223.0,290.0,298.0,,228.0,196.0,200.0,180.0,,,209.0,,,184.0,,,148.0,,,,,,197.0,,,127.0,,,168.0,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195.0,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.0,,,,,
239,,,,,,,,,,,,,,,35.0,19.0,29.0,19.0,33.0,,,,,,9.0,,98.0,,,,,160.0,,,85.0,,
242,,134.0,99.0,94.0,76.0,118.0,74.0,,64.0,81.0,,86.0,115.0,,141.0,,,117.0,,,,,,69.0,,,79.0,,,25.0,28.0,,,75.0,,,39.0
243,,,,196.0,,,9.0,,,,194.0,,,,111.0,,,,,,,,,114.0,,,,,,31.0,,,,,,4.0,
245,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,67.0,,,17.0,,,,,
247,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,37.0,,,15.0,,,21.0,,,,39.0
248,,,,,,79.0,,,,,,,,43.0,,,168.0,132.0,,,99.0,,,174.0,,,,,89.0,61.0,,,,,,90.0,
249,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,20.0,,,,,,,
251,,,,,,,17.0,,,,,,,,,,,,54.0,49.0,,,,,,,,,,,,,63.0,,,,
252,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,27.0,,,31.0,,,28.0,,
255,,,,193.0,,,136.0,127.0,24.0,68.0,98.0,46.0,70.0,28.0,67.0,,,,78.0,,,,,,129.0,,,19.0,,192.0,,,30.0,,,11.0,
256,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,50.0,,,,,
258,,,,,,,,,,,,,,24.0,191.0,,,86.0,,,202.0,,,51.0,,,,,,135.0,,,,,,,14.0
259,,,,,,,,,,,,,,,,,,,,,180.0,,,,,,,62.0,,,,,,124.0,,,
