wb,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0
1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,,
1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
1215,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,
1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0
1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,4.0,,
1226,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,1.0
1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,
1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,,,1.0
1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
1507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,
2003,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,,,,3.0
2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
2102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
2205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,3.0,,,,
2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
2303,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
2304,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3.0,,,
2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
2306,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,
2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,
2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,
3001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
3002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0
3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0
3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
3101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3102,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,3.0,,,,,
4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,4.0
6181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
6258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
6341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0
6448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
6449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
6465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
6474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0
6475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0
6511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
6640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
6671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0
6880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
7025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0
7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0
7058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
7059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
7078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0
7110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
7132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
7180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
7181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0
7182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
7271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
11002,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,4.0,,,
11003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
11005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
11102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
11103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11105,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,
11201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
11202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
11203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11206,0.0,,,2.0,,,,3.0,,,0.0,,,2.0,,,,1.0,,,0.0,,,,0.0,,0.0,,,,0.0,,,,,0.0
11207,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,
11301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
11502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11504,,,,,,,2.0,2.0,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,2.0,,,,,,4.0,,,,
11505,,,0.0,,,,4.0,2.0,2.0,0.0,,,,,,2.0,3.0,,3.0,,,2.0,,,3.0,,,,,,,2.0,,,,
11506,,2.0,,,,,,,,,3.0,,,,,,,3.0,,2.0,,,,3.0,,,3.0,,,,,,2.0,,,2.0
20084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0
36364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
36368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
36387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
36389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
36454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
36562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
36582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0
36617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
36666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
36699,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,2.0,,,,2.0,
36799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0
36801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
37023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
37024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
