wb,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
239,,,,,,,,,,,,,,2.0,3.0,2.0,3.0,2.0,,,,,,4.0,,0.0,,,,,0.0,,,1.0,,
242,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,1.0,,1.0,0.0,,0.0,,,0.0,,,,,,1.0,,,1.0,,,2.0,2.0,,,1.0,,,2.0
243,,,0.0,,,4.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,,,,,4.0,
245,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,3.0,,,,,
247,,,,,,,,,,,,,,,,,,,,,3.0,,,,,2.0,,,3.0,,,3.0,,,,2.0
248,,,,,1.0,,,,,,,,2.0,,,0.0,0.0,,,0.0,,,0.0,,,,,1.0,1.0,,,,,,0.0,
249,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,3.0,,,,,,,
251,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.0,,,,
252,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,2.0,,,2.0,,
255,,,0.0,,,0.0,0.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,,,,1.0,,,,,,0.0,,,3.0,,0.0,,,2.0,,,4.0,
256,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
258,,,,,,,,,,,,,3.0,0.0,,,1.0,,,0.0,,,2.0,,,,,,0.0,,,,,,,3.0
259,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,,,0.0,,,
260,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,1.0,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,,,,
262,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,
263,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,
265,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,
266,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,3.0
268,1.0,,,,,,,,,,,,,1.0,,,,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,,0.0,,,
269,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,1.0,,,,,,0.0,,,,,1.0
270,,,1.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,1.0,,,,,,0.0,,,,,0.0
271,,3.0,,,,3.0,,,,,,,3.0,,,,,2.0,,,,3.0,,,2.0,,,3.0,,,,3.0,,3.0,,
272,2.0,,,,,,,,,,4.0,,,,3.0,,,4.0,,,,3.0,,,,,3.0,,,,,,4.0,,,4.0
273,,2.0,,,,,,,,,4.0,,,,,,,,,,,,0.0,,,1.0,,,1.0,,,4.0,,,4.0,
274,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,2.0,,,,,,2.0,,,2.0,,
275,,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,2.0,,,,,,0.0,,,1.0,,,,,
276,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,0.0,,,0.0,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0
284,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,
