wb,ov_typ,distr_id,til_oko_fy,Shape_Length,length
291,LWTYPE9,DK1,Moderat økologisk tilstand,3206.5912256517217,3.2065912256517217
293,LWTYPE11,DK1,Moderat økologisk tilstand,11494.240960567558,11.49424096056756
294,LWTYPE13,DK1,Dårlig økologisk tilstand,2052.958297185126,2.052958297185126
295,LWTYPE9,DK1,Dårlig økologisk tilstand,2504.64324307254,2.50464324307254
296,LWTYPE11,DK1,Dårlig økologisk tilstand,8045.539123109748,8.045539123109748
297,LWTYPE9,DK1,God økologisk tilstand,1911.1646896144089,1.9111646896144088
298,LWTYPE10,DK1,Moderat økologisk tilstand,1079.3213493241576,1.0793213493241576
299,LWTYPE11,DK1,Ringe økologisk tilstand,2832.9452409801575,2.8329452409801577
300,LWTYPE1,DK1,Ringe økologisk tilstand,1663.0959970109966,1.6630959970109966
301,LWTYPE11,DK1,Ringe økologisk tilstand,4008.437713041297,4.008437713041297
302,LWTYPE13,DK1,Dårlig økologisk tilstand,1265.907547565535,1.265907547565535
303,LWTYPE9,DK1,Høj økologisk tilstand,4225.226173880402,4.225226173880402
304,LWTYPE9,DK1,Dårlig økologisk tilstand,1745.7228451184724,1.7457228451184723
305,LWTYPE13,DK1,Moderat økologisk tilstand,5321.6821894457125,5.3216821894457125
306,LWTYPE10,DK1,Høj økologisk tilstand,1776.4728842817642,1.7764728842817643
307,LWTYPE9,DK1,Moderat økologisk tilstand,1039.2397021257682,1.0392397021257682
308,LWTYPE11,DK1,Ringe økologisk tilstand,2688.1046272844374,2.6881046272844373
309,LWTYPE11,DK1,Ringe økologisk tilstand,12057.265512371103,12.057265512371103
310,LWTYPE9,DK1,Ringe økologisk tilstand,4793.039492450612,4.793039492450612
311,LWTYPE9,DK1,Moderat økologisk tilstand,2665.7539408162015,2.6657539408162014
312,LWTYPE11,DK1,Moderat økologisk tilstand,1289.6578660511811,1.289657866051181
315,LWTYPE1,DK1,Ringe økologisk tilstand,1474.534796750731,1.474534796750731
316,LWTYPE1,DK1,Høj økologisk tilstand,1384.3598357745288,1.3843598357745288
317,LWTYPE11,DK1,Dårlig økologisk tilstand,4053.6914659805425,4.053691465980543
318,LWTYPE1,DK1,Dårlig økologisk tilstand,1084.175299516258,1.0841752995162581
319,LWTYPE9,DK1,Moderat økologisk tilstand,4047.436167975889,4.0474361679758895
320,LWTYPE11,DK1,Ringe økologisk tilstand,1735.7173119051297,1.7357173119051297
321,LWTYPE10,DK1,Høj økologisk tilstand,2063.682314792318,2.063682314792318
322,LWTYPE9,DK1,Ringe økologisk tilstand,4224.309352099544,4.224309352099544
323,LWTYPE9,DK1,Ringe økologisk tilstand,11466.535421263103,11.466535421263103
325,LWTYPE13,DK1,Ringe økologisk tilstand,4831.080534039634,4.831080534039634
327,LWTYPE11,DK1,Ringe økologisk tilstand,6832.497152284108,6.832497152284108
328,LWTYPE1,DK1,Moderat økologisk tilstand,6494.735928849937,6.494735928849938
329,LWTYPE11,DK1,Dårlig økologisk tilstand,1610.3568021412448,1.6103568021412449
330,LWTYPE9,DK1,Moderat økologisk tilstand,3779.8992973781246,3.7798992973781247
331,LWTYPE9,DK1,God økologisk tilstand,1324.105020328788,1.324105020328788
332,LWTYPE10,DK1,Høj økologisk tilstand,1827.1964309569007,1.8271964309569007
333,LWTYPE2,DK1,Ringe økologisk tilstand,718.3401824333947,0.7183401824333947
335,LWTYPE9,DK1,Dårlig økologisk tilstand,1404.9679940023077,1.4049679940023077
336,LWTYPE1,DK1,Moderat økologisk tilstand,2230.974267961776,2.230974267961776
337,LWTYPE9,DK1,Høj økologisk tilstand,5175.437948849818,5.175437948849818
338,LWTYPE15,DK1,Dårlig økologisk tilstand,1915.04119437793,1.91504119437793
339,LWTYPE9,DK1,God økologisk tilstand,2302.790970058246,2.302790970058246
340,LWTYPE13,DK1,God økologisk tilstand,1569.5984536550864,1.5695984536550864
341,LWTYPE11,DK1,Dårlig økologisk tilstand,2031.852759732333,2.031852759732333
342,LWTYPE11,DK1,Høj økologisk tilstand,4646.774725905506,4.646774725905506
343,LWTYPE9,DK1,Dårlig økologisk tilstand,24102.160916328834,24.102160916328835
347,LWTYPE13,DK1,Dårlig økologisk tilstand,3959.7183274172553,3.959718327417255
348,LWTYPE11,DK1,Dårlig økologisk tilstand,2391.709358681516,2.3917093586815157
350,LWTYPE10,DK1,God økologisk tilstand,1517.0965397662005,1.5170965397662006
351,LWTYPE13,DK1,Dårlig økologisk tilstand,5547.158028259712,5.547158028259712
353,LWTYPE12,DK1,Moderat økologisk tilstand,1747.1030850079062,1.7471030850079061
354,LWTYPE11,DK1,Dårlig økologisk tilstand,17036.735050042025,17.036735050042026
355,LWTYPE10,DK1,God økologisk tilstand,3208.9683871885004,3.2089683871885004
357,LWTYPE9,DK1,God økologisk tilstand,8747.158313227046,8.747158313227047
358,LWTYPE15,DK1,Dårlig økologisk tilstand,1285.5390431134226,1.2855390431134226
359,LWTYPE11,DK1,Høj økologisk tilstand,1645.7744443133145,1.6457744443133144
361,LWTYPE1,DK1,Høj økologisk tilstand,1065.7260597921336,1.0657260597921336
363,LWTYPE1,DK1,God økologisk tilstand,1199.427319570175,1.199427319570175
364,LWTYPE10,DK1,God økologisk tilstand,3795.5070280564482,3.795507028056448
365,LWTYPE10,DK1,God økologisk tilstand,3098.182399154031,3.0981823991540307
366,LWTYPE11,DK1,Dårlig økologisk tilstand,2070.2825698849183,2.070282569884918
368,LWTYPE10,DK1,Ringe økologisk tilstand,1277.647792018882,1.277647792018882
370,LWTYPE9,DK1,Ringe økologisk tilstand,4831.450711127743,4.831450711127743
372,LWTYPE5,DK1,Ringe økologisk tilstand,2732.489113840039,2.732489113840039
373,LWTYPE15,DK1,Dårlig økologisk tilstand,4440.424101393835,4.440424101393836
374,LWTYPE11,DK1,Dårlig økologisk tilstand,3486.3125844285382,3.4863125844285383
375,LWTYPE11,DK1,Høj økologisk tilstand,1945.8469827775612,1.945846982777561
