g_del_cd,g_len,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
o8742a,14.038021967195,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,
t256,0.030327869539413,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
rib_1.10.00828,0.32691015171182,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,
o8739_b,8.5514059211023,,,3.0,3.0,,2.0,,,2.0,,,,,,,,4.0,,,,4.0,,,,,,,3.0
ros_2.2_00920,0.011070683879793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10543f,15.369390982376,4.0,5.0,,,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,
o8283_a,9.9431570980796,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,,3.0,,3.0,,,3.0,3.0,,,,,4.0,
1.7.c-0295-030,0.033193481208587,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
o7869,5.9715272968993,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,4.0
o8538_x,18.219473874352,,,,,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,,,,,,,,,,,,5.0
o8955,12.79406060777,,,,,,,,3.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
o4339,7.960884350228,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
aal1.3.0248,0.019984226507568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10549a,16.523484909903,4.0,,,,,,,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,5.0,,,5.0
rib_1.10.03397,0.3559240137142,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
t322,0.10039366868391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o9000_c_x,11.541091547829,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,,4.0,,,,,,5.0,,,,,
o8998_a,14.440238415132,3.0,3.0,3.0,4.0,,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,,,,,,,,,4.0,,,,5.0
t313,0.16399693825839,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
o8882,11.518270688977,,,,,,,,3.0,4.0,4.0,4.0,3.0,,,4.0,,,,4.0,,,4.0,,,,,,
1.7.b-0020-110,0.067290325977523,3.0,3.0,3.0,,3.0,3.0,,3.0,,,,,,,,,,,,,4.0,,,,,,,
o8763_c,0.29731716772212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aal1.1.0902,0.24079653561968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8915,8.6832876005817,,,,,,,,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,,,,,,,,,4.0,,3.0
1.5.c-0196-010,0.040361705544076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10427_n,0.14793973094026,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
t260,0.20570618314165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t314,0.2404756543087,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o1663,0.51713642577086,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
o8279_y,12.894155316564,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,,,3.0,3.0,3.0,,,,,3.0,
o10490_x,9.1078168382915,,,,,4.0,,4.0,,4.0,,3.0,,4.0,,,,,4.0,,,,,,,,,,
o3065_x,1.1672743896284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8328,6.938801947136,,,,,,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,,3.0,,,,,,,,,3.0,,,,3.0
o8715_a,6.442067768088,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,,,,,,3.0,,,,,,,4.0,,,4.0
o8961,10.483513365139,,,,,,,,4.0,5.0,4.0,4.0,4.0,5.0,,4.0,,,,,4.0,,,,,,5.0,,
o8886_z,4.5138120936459,,,,,,,,,,,,,,,,3.0,,,,,,,,,4.0,,,
t424,0.20785906295274,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
nyk_2.5_1507a,0.4788627575247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8787e,0.31403580406181,,,,,,,4.0,,,,4.0,,,,4.0,,,,,,,,,,,4.0,,
o8758,13.312299544239,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,,4.0,
o8152_d,14.722839365526,,,,,,,,3.0,3.0,3.0,4.0,3.0,3.0,,,,4.0,,3.0,,,4.0,4.0,,4.0,,,
ode_1.13_91,0.21374628030465,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
o8572,15.871141041103,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,5.0,
ros_3.1_04040,0.025741420329066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8584,9.9604261941463,,4.0,,,,,3.0,,,,4.0,3.0,3.0,,,,,2.0,,,4.0,3.0,,,,,,4.0
aal1.2.0164,0.4028280066687,,,,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,4.0,,
aal1.3.0249,0.013985811534632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10454a,9.263094656218,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
o10504_h,0.34210911054196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8116_b,11.921599850113,,,,,,,3.0,3.0,4.0,3.0,4.0,4.0,,,,,,4.0,,,4.0,4.0,,4.0,,,,5.0
1.6.d-0365-030,0.27544812637231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t233,0.037395383544131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10393_y,7.6264408105668,,,,,,,,,,,4.0,,,,,,,5.0,,,,,,,,,,5.0
aal1.2.2244n,0.23828061463676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6854,4.2949880822352,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,
o8295_c,9.3551901661657,,,,3.0,,,,,3.0,,3.0,,3.0,,4.0,3.0,3.0,,,3.0,,3.0,,,4.0,,,3.0
ode_1.15_15,0.37588575472939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.12_758,0.34790275326394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.11.06011,0.042020141404387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8977_x,8.6024535000002,,,,,,,,,,,,4.0,,,,,,,,,4.0,4.0,,,,,,4.0
ode_1.12_906,0.045482876067983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8625c,9.2951201023197,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,,,4.0,,,,,,,,,5.0
rib_1.10.00496,1.7526041072446,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
1.6.b-0435-030,0.078617431687578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10483,6.7213432629975,,4.0,4.0,4.0,4.0,4.0,,,,,,,,,5.0,,,5.0,,,,,,5.0,,,,
ros_3.1_03680,0.18363248605842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.f-0305-010,0.14087075721837,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
ros_2.4_13260,0.22658140957911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8027_c,8.7397595329823,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
o8523_x,5.5089676321857,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
o8231,1.859802576444,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,
ode_1.12_762,0.35638190495518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
