g_del_cd,g_len,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
o7357_x,5.0831087447709,,,,,,2.0,,,,3.0,,,,3.0,,,,,,3.0,3.0,,,,,,3.0,
ode_1.13_249,1.1407363297798,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
o7475,2.6258546522372,,,,,,,,,3.0,4.0,4.0,3.0,4.0,,3.0,,,3.0,,,,,3.0,,,,,
o4604,1.3473052299562,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
1.5.e-0120-010,2.040321133148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6670,0.63863207876354,,,,,,,4.0,,,,4.0,,,,4.0,,,,,,,,,,,4.0,,
o5079_x,3.6227785039666,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,4.0
aal1.1.1247,1.4038387483905,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
o8133_h,10.654250725243,,,,,,,,,,,,4.0,,,,4.0,,,,,4.0,4.0,,,,,,5.0
ode_1.13_313,0.11542462826606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6569,0.3141487348618,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,,
o8984_x,11.244725366905,,,,,,,,,,,4.0,,4.0,,,3.0,,,4.0,5.0,,4.0,,,4.0,,,5.0
o8258_c,5.7056358909551,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
rin_1.4_00361,3.785990724618,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,4.0,,,,,,4.0,,,,,
o8085,0.9995531829441,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,
o9932,2.1169134938723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o9805,5.2196219997366,,,,,,,,,,,4.0,,,,,,,,,,,2.0,,,,,,3.0
o7000,0.68597768729322,,,,,,,3.0,,,,3.0,,,,3.0,,,,,,,,,,,4.0,,
o7051,1.8034444772846,,,,,,,,4.0,4.0,4.0,4.0,4.0,,4.0,,,,,,,,,,,,,4.0,
o4840,2.9589364859781,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
o5243_c,0.53989974466279,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
o6688,1.8762412824131,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,4.0,
o5664,2.2995552314127,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
o4841,1.1597518668208,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
o10029,2.1067729020119,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,
o6920,3.9660476746137,,,3.0,,,,,,3.0,,,,3.0,,,,,,,3.0,,,,,,,4.0,
o8940,14.385812476742,,,,,,,,3.0,3.0,4.0,4.0,3.0,,,,3.0,2.0,,,,,,,,,3.0,,2.0
o5738,2.840457950467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8507_d,1.0053957246335,,,,,,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,4.0
o9023,1.7167723154752,3.0,3.0,3.0,,3.0,3.0,3.0,4.0,4.0,,,4.0,4.0,5.0,5.0,3.0,,,5.0,,5.0,,,4.0,,,,
rin_1.4_00363,3.4653131548125,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,2.0,,,,
o8922_b,3.4639655410364,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,
o6686,1.1457716613361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7019_x,5.610520556297,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,,4.0,,,,,,,,,,,,3.0,,
o3251,1.0430189176595,,,,,1.0,,,,3.0,3.0,3.0,3.0,,,,,,,,,,3.0,,,,,,4.0
o5900,7.0317473466302,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,3.0,3.0,,,,,,3.0,
u49,1.3157827720402,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
o5631,3.9783586445867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8144,3.4921947036915,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,3.0
o8905_g,1.5436138030642,,,,,,,,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,4.0
o8905_a,2.5658192430584,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,4.0
o10098_x,1.1156694654258,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,5.0
o8650,1.709052692802,,,,,2.0,,,,2.0,,,2.0,,,2.0,,,,2.0,,,,,,,,,
o6553,1.223058958372,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o8392_a,3.0801508673883,,,2.0,,,,,,,3.0,,3.0,,2.0,,,,,,,,,,2.0,,,,
o7861,0.87715265312966,,,,,,,,,3.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,3.0,
o9791,2.5619016935211,,,,,3.0,3.0,,,,2.0,,,2.0,,,3.0,3.0,,,,,,,,,2.0,,
rib_1.10.02653,2.2717892030257,,,,,,,,,,,4.0,,,,,,,,,,,,,3.0,,,,
o5941,0.70303975002961,,,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,
o8004_x,4.3114727100168,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,3.0,
o8189_b,0.52913570214428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8377,5.9456242433624,,,,,3.0,,,,3.0,3.0,3.0,,3.0,,4.0,,3.0,,,3.0,3.0,4.0,,,3.0,,,
o10410,1.9751920060241,,,,,,,,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,,,,,,,,,,,,,
o10361,1.6252407180099,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
rib_1.8.01101n2,0.89367424652654,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
o3685_x,3.1813936238865,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
o8957_k,4.576367505054,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,,
o7687,0.94563575607567,,,,,,,,3.0,,,,3.0,,,,,,,,,,,3.0,,,,,3.0
o4017,1.6467337014775,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,4.0,
o3025_x,3.8206072421704,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o7784,3.0070190768145,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
o8966,3.4312447036245,,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,
o8498_b,6.7997514917017,,,3.0,2.0,,,,3.0,,3.0,,3.0,,3.0,,3.0,,,,3.0,3.0,,,3.0,,,,3.0
o6039,6.4744100668874,,,,,,,3.0,,,,,,4.0,,,,,,,,,4.0,,,,,,4.0
ode_1.12_847,0.79923450510746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8642,1.8574774593784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7412,1.1293947465721,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
rib_1.10.02503,0.83983216253976,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,
o6816_d,4.921492144241,,,,3.0,,,4.0,2.0,3.0,3.0,3.0,3.0,,,3.0,4.0,,,,,2.0,,,,,,2.0,
ode_1.13_277,0.15865906221048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3766,2.339698021677,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,
o6897,4.4798792408823,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u463,0.84373727874854,,,,,,,,3.0,,,,3.0,,,,,,,,,,,3.0,,,,,
o8978_b,6.0612043441477,,5.0,5.0,4.0,5.0,5.0,,,,,,4.0,,,,,,,,,,3.0,,,,,,4.0
o5043_x,3.8446077493362,,,,,,,,,,,,,,,,,,3.0,,,,4.0,,,,,,4.0
rib_1.11.02301,1.0460190143524,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
o4132,3.3933608842166,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
o6727,2.4647759007363,,3.0,3.0,,,,,,,,,,3.0,,,,,3.0,,4.0,4.0,,,,,,4.0,
o7490,1.6535444560023,,,,,,3.0,,,,3.0,,,,3.0,,,,,,4.0,,,,,,,3.0,
o5602,0.99300865543351,,,,,,,,,,,,,,,,,,,3.0,,,,,,,4.0,4.0,
o4797,1.383903585371,,,,,,,,,,,,,,,,,3.0,,,4.0,,,,,,,4.0,
o8171_c,2.871535872612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7860_c,1.7897643518876,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,5.0
o5699,3.343809772312,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,5.0,
o10133,1.112218131739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7108_d,0.30173908820713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10537_d_a,5.6564028914111,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,,5.0
o6264,3.4488714850354,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
o10108,2.1479312643956,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,
o7945,2.7977285245658,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
o3579,2.926080591879,,,,,,,,,,4.0,,,,,,,,,,,,5.0,,,,,,4.0
o6709,1.9352146827186,,,4.0,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,
o4605,1.2847203588687,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
o8199,1.7906307188342,,,,,,,,,,3.0,,,,,,3.0,,,,,3.0,,,,,,4.0,
o8291_c,4.3270634598011,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,4.0,
o9869,4.4206834937614,,,,,,,,3.0,,3.0,,3.0,,3.0,,,,,,3.0,,,,,,,3.0,
o6938,0.51415561114289,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o3311,3.7997887595535,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,2.0
o10252,2.7572355956006,,,,,,,,4.0,5.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,
o4492_b,0.5967510641108,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,
o9019,1.3172786103784,3.0,,3.0,,4.0,,,,,,,3.0,,,,3.0,,,,,,3.0,,,,,3.0,
o8425_b,1.5253989522256,,,,4.0,,3.0,,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,4.0,
o8957_f,1.4389894328366,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,
o7539,1.4594973135331,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,3.0
o3402,2.6566169629858,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,5.0,,
o8289_a,1.0082060056194,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,3.0
o5212,3.8533995543003,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,,4.0,
o8062,1.9157551285362,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
o9039,2.3980483207877,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,
o3832,1.3583377554516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.c-0470-030,1.6662332597659,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
o8370_a,1.5607428458008,,,,,,,,,,4.0,,3.0,,3.0,,3.0,,,,,,,,,2.0,,,3.0
rin_1.2_00513,1.2550336078024,4.0,4.0,3.0,3.0,3.0,,,,3.0,,,,,3.0,,3.0,,,3.0,,3.0,,2.0,,,3.0,,4.0
rib_1.8.01061n,0.7361880910284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.10.02569,2.4646751016763,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,
o7626,5.179041951548,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,
o8104_y,6.2891833743833,2.0,3.0,3.0,3.0,3.0,2.0,2.0,,3.0,3.0,3.0,3.0,2.0,3.0,,,3.0,,,,3.0,3.0,3.0,3.0,,,2.0,3.0
aal1.2.2286,0.24007390961962,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5686_x,4.0872097760655,,,,,,,,3.0,,2.0,,,3.0,,,,,,,,,,,,,,,
o4914,0.7755567174125,,,,,,,3.0,,3.0,,3.0,,3.0,,3.0,,,,,,3.0,,,,,,3.0,
o2964_d,3.8194197270556,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,
o6310,1.3119386477712,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
o5388,3.6458010278058,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,4.0,,
o6908,1.5254044054125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5390,2.6634591975804,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,4.0,
o5098,1.0467141029329,,,,,,,,,5.0,4.0,4.0,4.0,3.0,4.0,4.0,,,,,,,,,,,5.0,,
o9040,2.9823456519754,,,,,,,,3.0,3.0,4.0,4.0,4.0,,4.0,4.0,,,4.0,,,,,,4.0,,,,
rib_1.10.01280,0.82461776818872,,,,,,,,,,,,,,,,3.0,,3.0,,,3.0,,,3.0,,,3.0,3.0
o5321,1.8866748989557,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o7402,1.1012165784407,,,,,,,,3.0,,,,3.0,,,,3.0,,,,,,,,,,2.0,,
o6868,3.1685850324843,,,3.0,,,,,,,,,,,3.0,,,,,3.0,,3.0,,,,,,1.0,
t342,0.24941246879686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6198_a,3.2429228369597,,,,,4.0,,,,,,3.0,,,,,,,,,,4.0,,,,,,4.0,
o6056,3.1428888629025,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
o8115,1.4783006219351,,,,,,,,,,,,3.0,,,,,,,,,2.0,,,,,,2.0,
o4562,1.8535550742142,,,,,3.0,,3.0,,4.0,3.0,3.0,4.0,4.0,3.0,4.0,,,,,,,,,,,4.0,,
o8848,2.416203724534,,,,,,,,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,3.0,
o3313,1.3013389899793,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,3.0
o5170,1.5638949008772,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,
o8829,1.1383006266211,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o8351,2.4855097003576,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
o7022,2.003320776491,,,,,,,,,3.0,,,,3.0,,,,,3.0,,3.0,,,,,,3.0,,2.0
o6042,2.7816918560151,,,,,,,,,,,,,,,,,,,,3.0,,,,,,5.0,,
o8380_y,2.1720968762029,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
aal1.1.0909n2,0.75552825366289,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,4.0,
o7188_x,4.2608267755237,,,,,,1.0,,,,1.0,,,,1.0,,,,2.0,,,,,,,,2.0,,2.0
o4661,5.0763663941115,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,
o6589,1.886930699859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8422_c,6.0218463116214,,3.0,,,,,,,,3.0,,3.0,,3.0,,,,,,3.0,,3.0,,,3.0,,3.0,
o7878_a,2.9764662720578,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,
o5531,2.1064118613684,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,,,,,,3.0,,,,4.0,,,,,,4.0
o3002_b,1.6532587364592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o4398_a,3.8645004865461,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0
o3374,2.1223173199794,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,4.0,
t452,0.29332236734957,,,,,,2.0,,,,3.0,,,,2.0,,,,,,3.0,,,,,,3.0,,
o9032_a,6.5236245561035,3.0,2.0,3.0,2.0,,,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,,3.0,
o5361,0.87383637370058,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,3.0,,,,3.0
o6885,2.3453050899695,,,,,,,1.0,,,,3.0,,,,2.0,2.0,,,,,3.0,4.0,,,3.0,,4.0,3.0
o4586_b,3.0398637036465,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
o8616,7.6684794218018,3.0,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,5.0,
o6681,2.7975101538798,,,,,,3.0,3.0,,,4.0,4.0,,,4.0,4.0,,,,,,,5.0,,,,,5.0,
o7676,0.74561107210164,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
o2978,3.1358830901823,,,,,,,,,,,,2.0,,,,,2.0,,,2.0,,,2.0,,,2.0,,3.0
o8007,5.5029387240673,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,
o8537,2.4444883912921,3.0,3.0,3.0,3.0,2.0,3.0,,3.0,3.0,2.0,2.0,2.0,,3.0,,,,,,,3.0,,,,,,3.0,
o7069,2.0200757118369,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,3.0
o8184_i,6.7373271232548,,,,,,,,,,,4.0,,,,,3.0,,,,,,,,,4.0,,,4.0
o8507_f,3.5357199194613,3.0,3.0,2.0,3.0,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,3.0,,,5.0,,,,,,4.0,
o8888,2.2704739437563,2.0,2.0,2.0,,,2.0,,,,2.0,,,,2.0,,2.0,,,,,,,,,,3.0,,
o5684,1.0815750040404,,2.0,,,,2.0,,,,,,3.0,,,,,,,,,4.0,,,,,,4.0,
o4136,1.8223867298848,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,4.0,
o7011,5.8767660895578,4.0,4.0,4.0,3.0,,,3.0,4.0,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,
o7030,2.829592664776,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,
o4230_x,4.2709487923326,,,,,,,,,,,,,,,,,,5.0,,,,,,,,4.0,,
o6260_y,1.7856085907275,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,
nyk_2.5_403,1.6518112041373,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,4.0,,,,
o8963,6.1536666282492,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
o8714,8.8766701841617,,,,,3.0,3.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,
1.5.e-1590-010,1.6318236383597,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
o7291,0.85137636208857,,,,,,,,3.0,,,,3.0,,,,,,,,,,,3.0,,,,,3.0
o4569,5.7715264631488,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,4.0,4.0,3.0,,3.0,
o4942,2.0975670081425,,,3.0,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,,4.0,
o7143_a,2.3313812859087,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
1.5.c-0470-040,1.3792980621828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin_1.2_00443,0.45339045420613,3.0,,3.0,,4.0,,3.0,4.0,,4.0,,4.0,,3.0,,4.0,,,,,,,,,,,,
o5088_y,1.4784932524869,,,,2.0,,,2.0,,2.0,,3.0,,3.0,,3.0,,,,,,3.0,,,,,,3.0,
o4674_x,1.1505201119014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8341_b,7.3900841243752,3.0,4.0,4.0,4.0,4.0,4.0,,,,,4.0,,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,5.0
o7921_e,2.1204871789536,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,
rib_1.10.00569,0.58512427177499,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
o6399,1.0066421018143,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,
o4043_a,5.023487545487,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,
rib_1.10.02650,3.4607320555156,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,,,,,4.0
o6505,1.6038082494487,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,5.0
o8507_i,1.5462980624845,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,3.0
o1549,5.0764342758908,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0
rib_1.10.02425,1.2434789124596,,,,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,
o7234_x,2.3555117620082,,,,,3.0,4.0,,,,3.0,,,,4.0,,,,4.0,,,,,,,,5.0,,
rib_1.11.02869,0.89253685260656,,,,,,,,,,2.0,,,3.0,,,,,,,,,,,,,,3.0,
o8379_h,6.4442404480109,,,,,,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,,,,,4.0,,,,,,,4.0,
o3895,0.73220098802284,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,3.0,
o8429_a,6.4852350040671,,,,,,,,,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,,4.0,4.0,4.0,3.0,4.0,,4.0,
o3933,2.7484133875196,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,,4.0,3.0,2.0,3.0,3.0,,3.0,
o10543c_b,4.8181679492446,,,,,,,,,,,,,,5.0,,,5.0,,,,,,5.0,,,,,
o3096,1.8840103780443,,,,,,,3.0,,,,,3.0,,,,,,,,,,,3.0,,,,,3.0
o5609,1.2013090905835,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
o4764,4.6435695118642,,,,,,,,,4.0,4.0,3.0,3.0,,3.0,,3.0,,3.0,,4.0,3.0,,,,,3.0,,
o9017,1.2532138449163,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,
o4730,0.63811503477073,,,,,,,,,,2.0,,3.0,,3.0,,,,,,,,,,,,4.0,,
o1460,2.9348940195198,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,2.0,
o7253,3.346085346829,,,,,,,3.0,,,,4.0,,,,3.0,,,,,,,,,,,3.0,,
o2964_b,4.4381154312188,,,,,,,,,,,3.0,,2.0,,,,,,2.0,,,,,,,3.0,,
o4252_y,3.6061846560131,,,,,,,,,,,3.0,,,,,3.0,,,,3.0,,4.0,,,3.0,,4.0,
o8480_a,7.4717591854776,4.0,4.0,4.0,4.0,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,,4.0,4.0,3.0,,4.0,,,,4.0
o3927,0.85736535871128,,3.0,3.0,3.0,3.0,2.0,,3.0,3.0,3.0,3.0,3.0,3.0,,,,3.0,,,3.0,,,3.0,,,3.0,,3.0
o8130,0.52051697801438,,,,,,,,,,5.0,,,4.0,,,,,,,,,,4.0,,,,,4.0
o10288,0.87354070406338,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
o8905_e,6.5821186070178,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
o4932_y,2.1603687756562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8954_a,5.646864362249,,,,,,,,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,,3.0,
ros_2.2_01200,4.7190176741106,,,,,,,3.0,2.0,2.0,2.0,2.0,2.0,,3.0,,2.0,,,,,,,,,,,,
o4232,1.0561824716292,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,
o7175_x,3.9087328261778,,,,,,2.0,1.0,,,2.0,,,,1.0,,,3.0,,,3.0,,,,,,4.0,,
rin_1.4_00241,4.0302148955116,2.0,,,3.0,3.0,3.0,,,3.0,,,,,,,3.0,,4.0,,,,,,,4.0,,,
o7259,1.5679858617588,,,,,,,3.0,,,,3.0,,,,3.0,,,,,,,,,,,3.0,,
o10286,1.7865579096961,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,,,,,,,,,,,4.0,,
o10142,1.2944221841019,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
o8641,3.2090798164622,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,,,,,,,,,,,,
o8492_b,5.2726638353694,,,,,,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,5.0
o2964_f,17.875370931501,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,
o7340,2.4096429381072,,,,,,,,,3.0,2.0,2.0,3.0,,3.0,,,,3.0,,,,,,,3.0,,3.0,
o4184,0.99200432667072,,,3.0,2.0,3.0,2.0,3.0,,3.0,3.0,3.0,2.0,2.0,,,,,,,,,,3.0,,,,,3.0
1.6.d-0400-010,0.84947571229526,,,,,,,3.0,4.0,3.0,3.0,3.0,3.0,,,,3.0,,,,,,,,3.0,,,,
ros_2.3_02180,0.61666593891059,,,,,4.0,,,,4.0,,4.0,,,5.0,,,,,,,,,,,,,,
o8625a,8.7330692092765,,,,,,,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,,3.0,,,,4.0,,,,,,3.0
o8542_a,14.885487149417,,,,,,,,3.0,3.0,2.0,3.0,3.0,,,,4.0,,,,,4.0,,,,,,4.0,
o8767,3.3023200030575,,,,2.0,,,,,,,,,3.0,,,,,3.0,,,4.0,,,,,,4.0,
o5381,1.7912197345707,,3.0,,,,,3.0,,,,,3.0,,,3.0,,,,,,3.0,,,,,,4.0,
1.5.b-0320-010,0.64583322362066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o9044,0.3723929546608,,,,,,,,,,3.0,,4.0,3.0,3.0,,,,,,,,,,,,,,4.0
o6500,1.3792246720742,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o4637,6.6413434981931,,,4.0,,,,,,4.0,3.0,,4.0,4.0,3.0,3.0,,,,,,,,,,3.0,,,
o6465,1.012167523832,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
aal1.2.3197,1.872796925703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
