wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
290,,,,,,,,,,,5.0,,,,5.0,,,,5.0,,,,,,,,,,,,,5.0,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,
292,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,,,,,4.0,,,,4.0,
294,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,6.0,,,,,,7.0,,,,,,7.0
298,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,4.0,,,,4.0,
299,,,,,,,,,,,,,,,1.0,1.0,,,3.0,,,3.0,,,,3.0,,,4.0,,,,,,4.0,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,
310,,,,,,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,,,,,,,,5.0,,,,,,5.0,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,4.0,,
316,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,4.0,
317,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,3.0,,
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,5.0,,5.0,,,,4.0,,6.0,6.0,7.0,7.0,7.0,6.0,,,,,,,7.0,,,5.0,,,,
326,,,,,,,,,,,,4.0,4.0,5.0,4.0,5.0,4.0,,,,,,5.0,,,5.0,5.0,,6.0,,,,7.0,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,3.0,,,,,4.0,
328,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,4.0,,,,,,,4.0,,,,4.0,
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,4.0,3.0,4.0,5.0,,,,5.0,5.0,5.0,5.0,5.0,,7.0,,,,,,7.0,,6.0,,,,7.0,,,,,,7.0
336,,3.0,4.0,,,,3.0,,,,,,,3.0,,,,,,2.0,,,,,,,,1.0,,,,4.0,,4.0,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,5.0,,,
338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,4.0,,,,
355,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,4.0,,4.0,,,,,,3.0,,,,
356,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,7.0,,,,,,
358,,5.0,,,,,,,4.0,,,,,,,,,5.0,,,,,,,,,4.0,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,6.0,,,,,,,,,
366,,,,,,,3.0,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,5.0,
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
371,,,,,,,,,,,,,4.0,,4.0,,3.0,,4.0,,,,,,,,,,,,3.0,,,,,4.0,
372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,
373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,
376,,,,,,,,,,,,,3.0,4.0,3.0,3.0,4.0,,,,4.0,,,,3.0,4.0,4.0,,,,,,4.0,,,,4.0
377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,
388,,,,,,,,,,,,,,,5.0,6.0,5.0,,,,,,,,,6.0,7.0,,,,,,5.0,,,,
391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,
407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
410,,,,,,,,,,,,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,,7.0,7.0
412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,6.0,,,6.0,,,,,,,
426,,,,,,,,,,,,5.0,,,,5.0,,,,5.0,,,,,,,,,,,5.0,,,,,,
428,,,,,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,,,,,4.0,,,,,7.0,,,,,,5.0,,,,
429,,,,,,,,,,,,,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
430,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,4.0,,,
431,,,,,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,
432,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,
433,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,,,,,7.0,5.0,,,,7.0,,,,,7.0,7.0,,,,
434,,,,,,,5.0,,,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,,,,,,,,,,,,,,6.0,,
