wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
364,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,3.0,,,,,,,,,
366,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,3.0,
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
371,,,,,,,,,,,,,2.0,,2.0,,1.0,,2.0,,,,,,,,,,,,1.0,,,,,2.0,
372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,
373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,
376,,,,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,,,,2.0,,,,1.0,2.0,2.0,,,,,,2.0,,,,2.0
377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,
388,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,3.0,4.0,,,,,,3.0,,,,
391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,
407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
410,,,,,,,,,,,,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0
412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,3.0,,,3.0,,,,,,,
426,,,,,,,,,,,,3.0,,,,3.0,,,,3.0,,,,,,,,,,,3.0,,,,,,
428,,,,,,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,2.0,,,,,4.0,,,,,,3.0,,,,
429,,,,,,,,,,,,,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
430,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,2.0,,,
431,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,
432,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,
