j,t,v,Q,ln y,D age,ln PSL,ln PAL,SL,D lakes,N
streams,2006,37,1.86758645,1.690120752,0,-0.374267346,-0.217536195,0.079797344,0,3781
streams,2006,38,1.493978858,1.541825357,0,-0.496521397,-0.347557343,0.113629156,0,15353
streams,2006,44,1.752969128,1.621906839,0,-0.778994926,-0.355337176,0.057888081,0,1152
streams,2006,45,1.895370457,1.551571079,0,-0.500174887,-0.326516773,0.136583949,0,10547
streams,2006,46,2.020661457,1.676779584,0,-0.396421156,-0.333363079,0.147179431,0,6455
streams,2006,47,2.364499297,1.662462292,0,-0.5500096,-0.407211695,0.098914314,0,4524
streams,2006,48,2.138808941,1.59421963,0,-0.719726953,-0.369637668,0.133313298,0,6059
streams,2006,49,2,1.530517389,1,-1.539556385,-0.159897686,0.004393823,0,957
streams,2006,56,2.622025238,1.516474796,0,-0.470634418,-0.52615807,0.558470296,0,20505
streams,2006,59,2.151918643,1.6915605,0,-0.663995688,-0.142243089,0.030010375,0,1261
streams,2006,72,1.351919264,1.422533475,1,-1.185371705,-0.373801004,0.011149066,0,1189
streams,2006,74,2.56336449,1.696345589,0,-0.389122524,-0.577611017,0.132274273,0,5124
streams,2006,80,1.757185067,1.658970635,0,-0.793318371,-0.185438102,0.027019305,0,2325
streams,2006,82,2.583133217,1.727916137,0,-0.163609253,-0.167974617,0.105509308,0,1072
streams,2006,83,2.63585919,1.692047695,0,-0.389324121,-0.383142498,0.217428641,0,8542
streams,2006,85,1.504406837,1.635966961,0,-0.730117122,-0.194191913,0.011087444,0,1807
streams,2006,86,2.022408815,1.557114309,0,-0.613313592,-1.370407444,0.022743463,0,5354
streams,2006,87,2.690145192,1.660152092,0,-0.641737849,-0.345947182,0.141796966,0,5867
streams,2006,89,2.532050701,1.672053787,0,-0.626569702,-0.661322908,0.0163204,0,505
streams,2006,90,2.690473611,1.647021654,0,-0.762414291,-0.386787353,0.187177144,0,6044
streams,2006,92,1.486015009,1.65645802,0,-0.794852715,-0.213818244,0.045267912,0,2212
streams,2006,93,2.442123158,1.594527677,0,-0.265634229,-0.457817536,0.945236022,0,112891
streams,2006,95,1.355527106,1.460337145,1,-2.375132675,-0.46970618,0.008272013,0,2081
streams,2006,96,1.934458671,1.658122671,0,-0.994081076,-0.289360315,0.042365896,0,4673
streams,2006,101,2.369526293,1.825585776,0,-0.756556006,-0.579115236,0.024648697,0,1341
streams,2006,102,2.84706518,1.603988309,0,-1.173786499,-0.785021934,0.040457753,0,9581
streams,2006,103,1.917508234,1.664055105,0,-0.746657466,-0.189930697,0.069822847,0,2724
streams,2006,104,1.994080544,1.69522328,0,-1.002129553,-0.329800208,0.015089347,0,3741
streams,2006,105,2.259352614,1.607432208,0,-0.633937983,-0.355023474,0.057504394,0,9531
