wb,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
242,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,2,0,1,1,2,1,1,2,1,1,2,2,2,1,0,1
243,1,0,1,0,4,1,1,0,0,1,1,1,0,1,0,1,3,0,1,1,2,0,2,2,1,1,2,2,2,0,0,1
245,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,3,1,2,1,1,2,3,4,1
247,1,0,1,0,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,3,2,2,2,2,2,2,2,3,2,1,3,1
248,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,0,1,2,0,1,2,1,2,1,1,0,2,1,1
249,1,0,1,0,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,4,2,2,2,1,1,2,3,2,1,2,1
251,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0
252,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,4,2,2,2,1
255,1,0,1,0,0,0,3,1,0,2,1,2,1,1,1,2,1,0,1,0,2,1,0,2,1,3,2,0,1,0,2,1
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0
258,1,0,1,0,1,0,1,1,1,1,1,3,0,1,1,1,1,1,0,0,2,2,2,2,1,1,1,0,0,1,0,1
259,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,0,1,2,2,2,2,1,1,2,2,0,0,1,0
260,1,0,1,0,1,1,1,1,1,2,1,2,2,1,1,2,2,1,4,2,2,2,2,2,1,1,2,1,2,1,2,1
261,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,3,2,1,2,2,2,2,4,2,1,1,2,2,4,2,2,1
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,2
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,1,2,1,0,0,0,1
266,1,0,1,0,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,4,2,2,1,2,2,1,2,3,4,2
268,1,0,1,0,1,0,1,1,2,1,2,1,1,1,0,0,0,0,1,0,2,2,2,2,0,0,2,4,1,0,0,0
269,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,4,1,0,1,1
270,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
271,3,0,0,0,3,1,0,1,0,1,0,3,2,0,2,2,2,1,0,4,3,1,1,2,0,0,3,4,1,0,3,0
272,1,1,1,0,1,3,1,2,1,4,1,1,2,3,3,4,4,4,2,4,3,2,2,2,1,3,2,1,4,4,4,4
273,2,0,1,0,1,2,1,3,1,4,1,1,2,1,1,3,3,2,1,2,2,0,2,2,1,1,2,1,2,0,4,1
274,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,1,1,1,1,1,1,2,0,1,1,4,1,2,1,0
275,0,0,1,0,1,1,1,1,1,1,1,2,1,1,0,1,1,2,2,0,2,2,2,2,1,4,0,2,2,1,0,2
276,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,2,0,2,4,2,2,2,2,1,1,2,0,2,0,0,2
277,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,2,2,0,0,2
278,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,0,1,1
279,1,0,1,0,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,0,1,1
281,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,0,1,1
282,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,4,1,1,0,1,0,0,0
283,1,0,1,0,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,1,2,4,2,2,2,2,4,4,1
284,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,0,1,0
285,1,0,1,0,1,1,1,2,1,2,1,1,2,4,2,2,2,2,1,2,2,2,2,2,1,3,2,1,2,1,4,1
286,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,1,2,3,4,1
288,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,2,0,1,1,1,1,4,4,0
289,1,0,1,0,1,0,1,0,3,1,1,1,2,0,1,2,3,1,1,2,2,2,2,4,1,1,2,4,2,1,2,0
290,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,2,2,2,2,1,1,2,1,2,3,4,1
291,0,0,1,0,1,2,1,1,1,2,4,1,2,1,2,1,2,2,1,1,2,2,2,1,1,1,2,1,1,0,1,2
293,1,0,1,0,1,0,1,2,1,1,1,1,2,1,2,1,2,2,1,0,2,1,1,2,1,1,2,0,1,0,4,4
294,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,0,1,2,2,2,0,0,2
295,1,0,1,0,2,1,1,1,1,2,1,1,1,0,1,1,1,0,2,1,2,2,2,0,1,1,2,2,1,0,0,2
296,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,0,0,0
297,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,2,2,2,2,1,2,2,0,2,4,4,4
298,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,2,1,1,1,1,0,3,1,4,2,0,0,0
299,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,2,2,2,2,1,1,2,2,1,4,2,1
