v,t,income,age,N
62,1995,313898.511,40.0969163,126
68,1995,257865.7682,42.67790544,526
72,1995,252340.5111,46.45981593,1197
74,1995,323696.1537,37.87817753,4784
80,1995,309074.1636,39.11333312,2088
82,1995,304706.29,36.73640289,1083
83,1995,329915.2619,37.78816881,7424
84,1995,326849.0737,39.98482462,1671
85,1995,326735.0737,37.26152997,1672
86,1995,293986.6618,40.57005621,4854
87,1995,311860.4482,40.22154736,5428
89,1995,308086.278,40.53750317,470
92,1995,319126.1311,39.04413246,2041
93,1995,298966.818,37.74056684,105729
95,1995,259855.1764,45.2620519,2016
96,1995,313061.1343,40.27659952,4529
101,1995,361476.6155,36.93222112,1197
102,1995,304654.2988,39.40840857,8821
103,1995,322813.7706,38.39931523,2592
104,1995,333811.2737,36.31393826,3181
105,1995,307371.6314,39.06021567,8449
106,1995,296522.2312,39.07855074,13859
107,1995,305649.5636,37.38084774,3078
108,1995,315972.309,38.41204184,568
109,1995,322385.8811,38.37009894,2532
110,1995,342864.4167,38.24542088,3526
111,1995,313435.8682,37.50759064,25700
113,1995,337878.2008,37.84511689,2434
114,1995,298442.3709,39.15106191,9416
119,1995,320140.5043,38.51136636,1527
120,1995,318994.1592,37.51414029,30463
122,1995,359687.1123,37.72077503,10807
123,1995,318290.4677,38.2767927,28798
124,1995,317122.4557,37.76511196,27868
125,1995,418363.5032,35.85391896,2062
127,1995,324024.9196,42.07793874,641
128,1995,319475.7834,37.44344521,33749
129,1995,302154.4949,38.68712966,2764
131,1995,323662.4729,36.96025623,45716
132,1995,329284.046,37.06803412,51823
133,1995,352018.1459,36.19072968,1216
136,1995,321306.7003,37.59525518,130091
137,1995,308646.3597,38.95438329,2590
138,1995,296015.8823,39.468076,2395
139,1995,270059.8442,38.69090909,77
140,1995,309005.1301,38.98068438,16316
141,1995,325903.0747,40.42760951,2844
142,1995,256192.0144,44.80319149,43
144,1995,311646.7009,42.93070935,499
145,1995,353868.0367,35.16775465,26130
146,1995,337725.5292,38.01589552,5954
147,1995,306220.155,36.20182783,108571
154,1995,264234.8594,41.45574274,1057
232,1995,310514.8633,38.33951802,11847
235,1995,301159.2194,38.01164492,112218
238,1995,311592.4098,37.95151182,6162
157,1995,305658.7972,38.0254636,28519
158,1995,308387.3529,38.00900844,19528
159,1995,297587.9241,38.50650839,9056
160,1995,308068.8613,39.0664874,6146
200,1995,356440.69,39.22553131,26558
204,1995,310252.5804,38.36276504,38396
206,1995,286337.785,40.31875625,7404
207,1995,264138.7008,41.98724871,10551
208,1995,274751.3142,41.44268627,5720
209,1995,287633.7312,41.99099601,5528
212,1995,292486.5502,41.33113947,3938
231,1995,309079.9718,38.892199,25688
219,1995,312762.7316,40.99382698,7199
221,1995,302644.0962,38.30479162,31317
222,1995,299746.2915,39.49815512,11623
225,1995,307528.0717,38.4832486,26872
130,1995,323355.9439,37.40800916,941
236,1995,301943.581,39.08834981,14036
233,1995,305405.1856,38.60057328,21496
234,1995,293847.8726,39.58654413,10458
224,1995,304608.7648,39.54482932,8114
217,1995,306404.6734,40.01002414,5955
201,1995,363473.388,35.95306349,120633
90,1995,304482.0493,39.27190725,5549
165,1995,331189.378,37.84944043,31904
216,1995,306861.7342,39.03022059,9630
48,1995,289306.334,42.02090239,5494
46,1995,319616.3959,39.63694066,5791
121,1995,319578.6161,36.99573534,71897
214,1995,288099.2325,39.69394651,26780
1,1996,408840.9423,37.14716508,79819
2,1996,376835.277,37.7126626,40497
6,1996,318451.3655,39.59363343,562941
