ObservationsstedNr,X_UTM32,Y_UTM32
16000221,484457,6259455
16000222,459052,6265887
16000224,490589,6266156
16000225,488574,6267328
16000226,486482,6275451
16000227,485799,6278004
16000228,448488,6269776
16000231,493521,6267869
16000232,493159,6268494
16000233,488404,6280260
16000234,484468,6256159
16000235,491017,6270136
16000236,481581,6271969
16000237,453205,6270382
16000239,453502,6272002
16000240,498955,6296410
16000241,501756,6270677
16000242,500284,6271170
16000243,502917,6269483
16000244,498691,6281872
16000245,499503,6283382
16000246,494659,6281501
16000247,497863,6280633
16000248,508003,6283065
16000249,500892,6274369
16000251,462517,6270096
16000252,496062,6290583
16000253,499925,6276963
16000254,501778,6274713
16000258,448104,6267851
16000260,489248,6258270
16000261,448205,6269645
16000270,503722,6286103
16000272,488437,6271393
16000273,489570,6279403
16000276,485129,6251082
16000277,489857,6265377
16000279,470726,6258919
16000294,483053,6258787
16000303,483752,6254080
16000314,474460,6256171
16000315,485648,6261912
16000316,496640,6251802
16000317,498971,6291612
16000319,489767,6258569
16001095,486567,6260143
16001309,470673,6264041
17000004,529999,6280975
17000005,526076,6272726
17000007,526414,6274203
17000008,526013,6274007
17000009,533533,6283313
17000010,540880,6279394
17000011,526470,6275246
17000012,529340,6281484
17000013,523400,6269797
17000014,527944,6278060
17000016,530291,6282918
17000017,541207,6278783
17000018,533182,6283253
17000019,537143,6282143
17000020,527242,6275889
17000021,526253,6276362
17000022,539706,6279498
17000023,537746,6282105
17000024,538149,6283448
17002001,545733,6285958
17002002,529519,6281243
17002003,529499,6282673
17002013,538459,6284069
18000005,545678,6270177
18000035,554490,6263862
18000037,552626,6266431
18000040,552167,6259261
18000041,550950,6266892
18000046,560785,6262797
18000048,558554,6264104
18000054,560602,6266343
18000055,557428,6269049
18000058,562187,6265048
18000059,558578,6265165
18000060,555899,6268015
18000062,552655,6261184
18000063,561460,6265828
18000071,538673,6273075
18000072,537196,6264257
18000075,539112,6271519
18000077,530277,6269979
18000078,535858,6263205
18000079,542221,6266688
18000080,531549,6260188
18000083,555424,6273211
18000100,549880,6260200
18000124,526512,6267530
18000125,532241,6265747
18000126,527697,6266751
18000127,533554,6261455
18000128,536011,6262031
18000129,539230,6274167
18000130,551824,6268106
18000131,529721,6271065
18000132,539711,6273497
18000133,541447,6274539
18000134,547510,6269459
18000135,549763,6272071
18000136,556250,6263186
18000137,558171,6263849
18000138,552671,6266398
18000139,554283,6267145
18000140,532749,6272635
18000141,534319,6273129
18000142,531125,6270696
18000143,532559,6264587
18000144,532854,6267474
18000145,544978,6268964
18000146,538616,6268599
18000147,541628,6271459
18000148,549979,6269126
18000149,535911,6267983
18000150,528780,6268372
18000151,550391,6268382
18000152,553516,6263659
18000153,524702,6266429
18000154,540500,6271366
18000155,538576,6269353
18000156,534889,6267487
18000157,536446,6270105
18000158,532429,6272759
18000159,532910,6274203
18000160,533106,6275404
18000161,532915,6277325
18000162,533425,6277313
18000163,535070,6277456
18000164,528124,6270788
18000165,528199,6269515
18000166,544790,6267103
18000167,543372,6266282
18000168,547963,6268581
18000169,533464,6261410
18000170,532192,6260780
18000171,545001,6267689
18000172,524967,6264690
18000173,525327,6264779
18000174,542045,6265209
18000175,542375,6266368
18000176,543230,6263491
18000177,543664,6266151
18000178,544981,6265067
18000179,529370,6272000
18000180,507910,6176686
18000181,507910,6176686
18000182,507910,6176686
18000190,548992,6270564
18000195,524838,6265217
18000198,563951,6265690
18000218,531795,6264523
18000219,544923,6267703
18000220,539606,6270723
18000221,539192,6271843
18000859,555440,6273207
18000887,531455,6260159
18000914,554953,6273258
19000010,515716,6262185
19000011,518749,6263210
19000012,512637,6265368
19000015,508588,6257394
19000016,515729,6258215
19000022,508074,6254513
19000023,507891,6254564
19000024,506599,6267315
19000025,515807,6256064
19000026,507713,6261976
19000027,506536,6264709
19000028,507257,6263791
19000029,518863,6263248
19000030,517452,6256429
19000031,517278,6256493
19000032,516451,6256749
19000033,516745,6256678
19000034,518751,6263201
19000035,515611,6260126
19000036,509186,6260589
19000037,519573,6255742
19000038,519166,6255194
19000039,518282,6256141
19000040,518810,6255652
19000041,519736,6255203
19000042,518309,6256309
19000043,521058,6259076
19000044,520352,6257757
19000045,510847,6264540
19000046,514568,6269685
19000047,509891,6260035
19000048,506522,6254624
19000049,513493,6267187
19000050,509594,6257532
19000051,508277,6255607
19000052,514702,6269580
19000053,506400,6267525
19000054,517499,6255956
19000055,517102,6256297
19000056,507299,6263807
19000057,515556,6262495
19000058,514633,6265515
19000059,515374,6265238
19000060,515344,6264195
19000061,514140,6266708
19000062,522589,6264597
19000063,506667,6268915
19000064,506012,6257928
19000065,511951,6256030
19000066,510363,6258840
19000067,513864,6254614
19000068,513053,6251326
19000069,512098,6256193
19000070,511289,6257386
19000071,513321,6253608
19000072,511619,6256901
19000073,513242,6261239
19000074,512301,6260283
19000075,515201,6262116
19000076,513630,6262727
19000077,502498,6262797
19000078,510072,6260994
19000079,512174,6266044
19000080,513003,6266718
19000081,518841,6263185
19000082,506551,6267366
19000083,503152,6262548
19000084,506629,6267328
19000085,504060,6263148
19000086,504182,6263325
19000087,519038,6263253
19000091,513217,6255463
19000214,512399,6273405
20000020,499892,6248857
20000021,497558,6263987
20000023,501498,6268226
20000024,498921,6263308
20000025,509538,6240210
20000026,500460,6251413
20000027,514828,6240076
20000028,502557,6240982
20000029,502210,6240980
20000030,504206,6240176
20000031,503927,6239992
20000032,502948,6238576
20000040,508179,6244686
20000041,520227,6225912
20000042,510580,6240045
20000061,505473,6247681
20000062,502235,6240376
20000063,501447,6243129
20000064,503829,6240285
20000065,500770,6266973
20000066,497294,6249215
20000067,516518,6223141
20000068,517402,6222839
20000069,515976,6225268
20000070,497334,6260777
20000071,497876,6262170
20000072,497724,6263551
20000073,523659,6225166
20000074,521416,6226348
20000075,502917,6256182
20000076,500951,6256483
20000077,503923,6255487
20000078,499108,6255537
20000079,505163,6244773
20000080,505736,6245991
20000081,521114,6225177
20000082,519535,6226288
20000083,516867,6227200
20000084,521057,6222897
20000085,496579,6244452
20000086,496295,6243424
20000087,498383,6246000
20000088,496795,6241547
20000089,500338,6238979
20000090,499644,6261870
20000091,499612,6260835
20000092,498883,6262842
20000093,504575,6247073
20000094,501916,6237058
20000095,498937,6243455
20000096,500166,6238593
20000097,499456,6240953
20000098,492892,6256950
20000099,500103,6249024
20000100,499390,6247163
20000101,519907,6233826
20000102,520950,6231664
20000103,516927,6235393
20000104,519174,6234226
20000105,512213,6238129
20000106,514859,6237029
20000107,513536,6237740
20000108,507910,6176686
20000109,508395,6240312
20000110,508173,6238928
20000111,507646,6242950
20000112,502545,6250122
20000113,511820,6233664
20000114,500334,6268282
20000115,500262,6268233
20000116,497349,6264031
20000117,499966,6268927
20000118,497093,6270122
20000119,495562,6271806
20000120,494284,6255676
20000121,497137,6258259
20000122,499207,6259857
20000123,498158,6258424
20000124,498711,6262304
20000125,494348,6255102
20000126,493404,6253844
20000127,507910,6176686
20000128,499760,6260828
20000129,501422,6259799
20000130,507259,6244460
20000131,507046,6244615
20000132,510185,6244623
20000133,506029,6248349
20000134,506118,6248259
20000135,510509,6247796
20000136,507963,6247888
20000137,505425,6248457
20000138,504496,6248541
20000139,499762,6251959
20000140,497620,6260615
20000141,501347,6251657
20000142,506901,6251368
20000143,508951,6250070
20000144,508787,6250279
20000145,503937,6251734
20000146,507910,6176686
20000147,507910,6176686
20000148,516416,6227543
20000149,500406,6264656
20000150,514359,6229826
20000151,516888,6227440
20000152,519613,6228037
20000153,496046,6252829
20000154,496143,6252304
20000155,495543,6252084
20000156,499966,6244995
20000157,498720,6255966
20000158,499579,6256558
20000159,500746,6256473
20000160,513681,6236356
20000161,515165,6235618
20000162,512855,6236802
20000163,512102,6237069
20000164,520638,6234662
20000165,500850,6256311
20000166,497365,6270157
20000167,514225,6240438
20000168,515250,6239741
20000169,511595,6240431
20000170,515377,6240286
20000171,511858,6240281
20000172,515142,6240167
20000173,515377,6240286
20000174,497975,6264043
20000176,499849,6251945
20000177,499015,6243560
20000180,505618,6251818
20000183,512722,6231658
20000192,500148,6244207
20000193,501667,6251873
20000194,516054,6236063
20000195,512232,6238123
20000196,499022,6257493
20000197,501145,6251233
20000198,506543,6244633
20000199,504596,6248142
20000200,512973,6231443
20000303,490432,6262145
20000304,490580,6261467
20000305,491619,6261082
20000306,493233,6258053
20000308,493760,6258001
20000812,508404,6240320
20000852,489170,6261458
20000853,491568,6262042
20000854,488721,6261465
20000856,502042,6269035
20000890,507892,6238277
21000004,550329,6231393
21000007,545941,6231540
21000008,549379,6234362
21000009,542469,6230168
21000011,549344,6234693
21000013,551469,6235643
21000018,549119,6234033
21000019,550314,6231402
21000020,543470,6227943
21000029,568308,6251637
21000030,554556,6218902
21000040,533835,6207223
21000061,531923,6223695
21000062,536142,6213204
21000064,539841,6237004
21000065,552135,6209011
21000067,566884,6237331
21000070,546944,6230343
21000071,546905,6232181
21000072,547274,6231635
21000073,548909,6234718
21000077,538277,6196256
21000084,541555,6233023
21000085,538225,6195277
21000086,546847,6216555
21000087,534426,6225291
21000089,543400,6207447
21000090,526726,6193714
21000110,526287,6215347
21000400,542358,6230281
21000402,531658,6223970
21000409,580885,6258982
21000412,568142,6250260
21000413,578602,6252878
21000423,578890,6254159
21000431,573016,6249499
21000435,573688,6247820
21000437,574692,6249742
21000438,582774,6245169
21000446,542544,6240828
21000455,549303,6234702
21000456,548615,6233502
21000457,545688,6231657
21000460,539840,6226559
21000461,548999,6250172
21000463,541444,6239375
21000467,561130,6257226
21000470,532842,6233572
21000472,531596,6231448
21000474,534094,6235111
21000477,541243,6226793
21000478,540784,6227159
21000484,541934,6225686
21000486,544938,6223607
21000487,528948,6233710
21000490,559314,6256162
21000495,525859,6254657
21000500,549782,6235215
21000502,532900,6245042
21000506,544784,6239108
21000508,550744,6235230
21000512,543669,6227869
21000519,531690,6208331
21000526,557397,6209809
21000528,529141,6221430
21000529,531557,6222916
21000535,556686,6244187
21000548,555582,6247320
21000550,562018,6203964
21000552,559600,6209869
21000557,557652,6206832
21000562,556654,6212467
21000563,552895,6211798
21000569,548850,6217382
21000570,555225,6219900
21000572,554372,6218195
21000574,533807,6207954
21000577,530614,6209638
21000585,533631,6207664
21000587,560096,6207974
21000589,550935,6229975
21000591,542977,6212759
21000597,571872,6239972
21000598,572654,6239068
21000612,562760,6245314
21000613,558206,6245080
21000614,560239,6241730
21000623,533214,6208368
21000632,525696,6221707
21000633,527150,6220764
21000634,528796,6220820
21000636,526045,6221513
21000643,544733,6212932
21000644,554030,6206003
21000646,531464,6224128
21000647,561028,6207901
21000648,554072,6219282
21000656,526571,6220767
21000663,534130,6207491
21000665,551232,6217934
21000666,553613,6218212
21000673,530805,6209279
21000678,534254,6222437
21000681,552471,6217539
21000686,532643,6211952
21000687,528498,6212307
21000688,533138,6211999
21000689,531338,6211425
21000692,533611,6222550
21000694,560290,6205748
21000695,526143,6219029
21000710,530468,6237183
21000712,532405,6235370
21000713,530495,6233976
21000714,528901,6233753
21000715,530560,6224264
21000724,528280,6232819
21000726,566166,6258921
21000729,531395,6223314
21000738,572663,6268343
21000740,525148,6234620
