ObservationsstedNr,X_UTM32,Y_UTM32
6000102,543057,6348438
6000104,543044,6348770
6000106,548648,6335882
6000107,548648,6335882
6000108,569930,6341884
6000109,569930,6341884
6000110,570222,6341799
6000116,507910,6176686
6000117,546403,6339050
6000118,507910,6176686
6000119,507910,6176686
6000120,507910,6176686
6000121,542706,6348984
6000122,542162,6346502
6000123,546023,6342847
6000124,507910,6176686
6000125,507910,6176686
6000126,507910,6176686
6000127,507910,6176686
6000128,507910,6176686
6000129,507910,6176686
6000130,507910,6176686
6000131,546933,6330130
6000132,543057,6348438
6000133,543044,6348770
6000134,507910,6176686
6000135,507910,6176686
6000136,543624,6349506
6000137,543624,6349506
6000138,546403,6339050
6000393,550695,6344879
6000394,550695,6344879
6000406,546089,6344449
6000407,546089,6344449
6000408,545758,6344480
6000409,545758,6344480
6000410,544785,6344880
6000411,544785,6344880
6000412,546689,6330124
6000413,546689,6330124
6000414,546421,6329887
6000415,546421,6329887
6000416,546763,6330212
6000417,546763,6330212
6000418,546551,6329847
6000419,546551,6329847
6000420,570178,6341826
6000421,569941,6341879
6000422,569791,6341951
6000423,543321,6348031
6000424,543321,6348031
6000425,542706,6348984
6000426,507910,6176686
6000442,548439,6344291
6000443,548439,6344291
6000444,550763,6344718
6000445,550763,6344718
6000446,551125,6344830
6000447,551125,6344830
6000448,551459,6344978
6000449,551459,6344978
6000450,551076,6344928
6000451,551076,6344928
6000452,549378,6345191
6000453,549378,6345191
6000454,545062,6345690
6000455,545062,6345690
6000456,548789,6345060
6000457,548789,6345060
6000458,546677,6337510
6000459,546677,6337510
6000460,547039,6336628
6000461,547039,6336628
6000462,547032,6336605
6000463,547032,6336605
6000465,507910,6176686
6000466,507910,6176686
6000467,507910,6176686
6000468,507910,6176686
6000473,546023,6342847
6000474,546933,6330130
7000009,555935,6325360
7000010,553378,6322437
7000011,554305,6328226
7000012,556938,6325131
7000066,553378,6322437
7000067,553378,6322437
7000068,556938,6325131
7000069,566346,6336554
7000070,566346,6336554
7000071,562920,6332605
7000072,562920,6332605
7000075,507910,6176686
7000076,507910,6176686
7000077,583638,6326420
7000078,583454,6324135
7000079,582434,6320764
7000080,541970,6330094
7000081,551657,6335354
7000082,556945,6329395
7000083,557783,6329099
7000084,544567,6334756
7000085,557002,6329407
7000086,557783,6329099
7000087,544567,6334756
7000300,556406,6340960
7000301,556406,6340960
7000308,541980,6330071
7000309,549472,6325641
7000310,549472,6325641
7000311,549646,6325666
